EPC,AntnenaId,ChannelIndex,Doppler,PeekRssi,PrecissRssi,Phase,FirstReadTime,LastReadTime,ReadCount,Timestamp
E20068777716022812209DB8,1,1,442,-50,-5050,2280,1366686715772203,1366686715772203,1,1366690089805
E20068777716022812209DB8,1,1,442,-50,-5050,2284,1366686715780013,1366686715780013,1,1366690089821
E20068777716022812209DB8,2,1,221,-47,-4750,1756,1366686715791678,1366686715791678,1,1366690089821
E20068777716022812209DB8,2,1,247,-47,-4750,1752,1366686715802564,1366686715802564,1,1366690089856
E20068777716022812209DB8,3,1,169,-45,-4550,404,1366686715821331,1366686715821331,1,1366690089856
E20068777716022812209DB8,3,1,117,-45,-4550,416,1366686715829818,1366686715829818,1,1366690089857
E20068777716022812209DB8,1,1,494,-50,-5050,2280,1366686715841309,1366686715841309,1,1366690089857
E20068777716022812209DB8,1,1,494,-50,-5050,2284,1366686715855314,1366686715855314,1,1366690089857
E20068777716022812209DB8,2,1,299,-47,-4750,1752,1366686715867825,1366686715867825,1,1366690089882
E20068777716022812209DB8,2,1,338,-47,-4750,1752,1366686715873995,1366686715873995,1,1366690089882
E20068777716022812209DB8,3,1,221,-45,-4550,404,1366686715901033,1366686715901033,1,1366690089882
E20068777716022812209DB8,3,1,52,-45,-4550,408,1366686715908723,1366686715908723,1,1366690089882
E20068777716022812209DB8,1,1,364,-51,-5100,2292,1366686715924398,1366686715924398,1,1366690089926
E20068777716022812209DB8,1,1,299,-50,-5050,2300,1366686715928646,1366686715928646,1,1366690089926
E20068777716022812209DB8,2,1,416,-47,-4750,1736,1366686715945751,1366686715945751,1,1366690089926
E20068777716022812209DB8,2,1,247,-47,-4750,1760,1366686715955304,1366686715955304,1,1366690089926
E20068777716022812209DB8,3,1,78,-45,-4550,408,1366686715970377,1366686715970377,1,1366690089926
E20068777716022812209DB8,3,1,117,-45,-4550,408,1366686715976367,1366686715976367,1,1366690089926
E20068777716022812209DB8,1,1,299,-50,-5050,2284,1366686715992233,1366686715992233,1,1366690089927
E20068777716022812209DB8,1,1,416,-50,-5050,2280,1366686716005272,1366686716005272,1,1366690089927
E20068777716022812209DB8,2,1,195,-47,-4750,1756,1366686716019730,1366686716019730,1,1366690090048
E20068777716022812209DB8,2,1,273,-47,-4750,1760,1366686716028825,1366686716028825,1,1366690090048
E20068777716022812209DB8,1,1,442,-51,-5100,2296,1366686716051859,1366686716051859,1,1366690090048
E20068777716022812209DB8,1,1,468,-50,-5050,2280,1366686716061228,1366686716061228,1,1366690090049
E20068777716022812209DB8,2,1,247,-47,-4750,1760,1366686716075844,1366686716075844,1,1366690090049
E20068777716022812209DB8,2,1,195,-47,-4750,1772,1366686716084343,1366686716084343,1,1366690090049
E20068777716022812209DB8,3,1,52,-46,-4600,412,1366686716099096,1366686716099096,1,1366690090049
E20068777716022812209DB8,3,1,52,-46,-4600,412,1366686716110289,1366686716110289,1,1366690090049
E20068777716022812209DB8,1,1,468,-50,-5050,2288,1366686716124188,1366686716124188,1,1366690090049
E20068777716022812209DB8,1,1,364,-50,-5050,2304,1366686716136587,1366686716136587,1,1366690090070
E20068777716022812209DB8,2,1,195,-47,-4750,1780,1366686716151707,1366686716151707,1,1366690090070
E20068777716022812209DB8,2,1,273,-47,-4750,1752,1366686716161028,1366686716161028,1,1366690090071
E20068777716022812209DB8,3,1,52,-45,-4550,412,1366686716173420,1366686716173420,1,1366690090120
E20068777716022812209DB8,3,1,78,-45,-4550,408,1366686716185388,1366686716185388,1,1366690090120
E20068777716022812209DB8,1,1,416,-50,-5050,2296,1366686716199576,1366686716199576,1,1366690090120
E20068777716022812209DB8,1,1,390,-50,-5050,2296,1366686716204324,1366686716204324,1,1366690090120
E20068777716022812209DB8,2,1,338,-47,-4750,1752,1366686716220799,1366686716220799,1,1366690090120
