EPC,AntnenaId,ChannelIndex,Doppler,PeekRssi,PrecissRssi,Phase,FirstReadTime,LastReadTime,ReadCount,Timestamp
E20068777716022812209DB8,3,1,-143,-47,-4750,2624,1367933343587561,1367933343587561,1,1367936779529
E20068777716022812209DB8,3,1,338,-48,-4800,2608,1367933343598522,1367933343598522,1,1367936779533
E20068777716022812209DB8,4,1,-247,-48,-4850,2548,1367933343618748,1367933343618748,1,1367936779533
E20068777716022812209DB8,4,1,-364,-48,-4800,2580,1367933343627719,1367933343627719,1,1367936779547
E20068777716022812209DB8,3,1,169,-48,-4800,2632,1367933343645244,1367933343645244,1,1367936779547
E20068777716022812209DB8,3,1,-117,-48,-4800,2672,1367933343652481,1367933343652481,1,1367936779547
E20068777716022812209DB8,4,1,-247,-48,-4850,2548,1367933343671298,1367933343671298,1,1367936779547
E20068777716022812209DB8,4,1,52,-48,-4800,2532,1367933343678806,1367933343678806,1,1367936779547
E20068777716022812209DB8,3,1,78,-48,-4800,2656,1367933343701658,1367933343701658,1,1367936779553
E20068777716022812209DB8,3,1,0,-48,-4800,2660,1367933343714408,1367933343714408,1,1367936779553
E20068777716022812209DB8,4,1,-52,-48,-4850,2544,1367933343732144,1367933343732144,1,1367936779553
E20068777716022812209DB8,4,1,-26,-48,-4800,2544,1367933343738571,1367933343738571,1,1367936779640
E20068777716022812209DB8,3,1,-273,-48,-4800,2656,1367933343756859,1367933343756859,1,1367936779640
E20068777716022812209DB8,3,1,169,-48,-4800,2644,1367933343769610,1367933343769610,1,1367936779640
E20068777716022812209DB8,4,1,-299,-48,-4850,2572,1367933343782807,1367933343782807,1,1367936779640
E20068777716022812209DB8,4,1,-221,-48,-4850,2564,1367933343792742,1367933343792742,1,1367936779640
E20068777716022812209DB8,3,1,78,-48,-4800,2636,1367933343808562,1367933343808562,1,1367936779640
E20068777716022812209DB8,3,1,-78,-48,-4800,2664,1367933343819805,1367933343819805,1,1367936779640
E20068777716022812209DB8,3,1,-78,-48,-4800,2660,1367933343838626,1367933343838626,1,1367936779795
E20068777716022812209DB8,3,1,-26,-48,-4800,2660,1367933343859503,1367933343859503,1,1367936779795
E20068777716022812209DB8,4,1,117,-48,-4850,2524,1367933343873830,1367933343873830,1,1367936779795
E20068777716022812209DB8,4,1,-26,-48,-4800,2556,1367933343884552,1367933343884552,1,1367936779795
E20068777716022812209DB8,3,1,-247,-48,-4800,2684,1367933343899145,1367933343899145,1,1367936779795
E20068777716022812209DB8,3,1,52,-48,-4800,2648,1367933343907912,1367933343907912,1,1367936779795
E20068777716022812209DB8,4,1,-195,-48,-4800,2568,1367933343928779,1367933343928779,1,1367936779795
E20068777716022812209DB8,4,1,-78,-48,-4800,2564,1367933343936435,1367933343936435,1,1367936779795
E20068777716022812209DB8,4,1,-52,-48,-4800,2552,1367933343954324,1367933343954324,1,1367936779796
E20068777716022812209DB8,4,1,-26,-48,-4850,2556,1367933343961775,1367933343961775,1,1367936779802
E20068777716022812209DB8,4,1,-117,-48,-4850,2564,1367933343983576,1367933343983576,1,1367936779803
E20068777716022812209DB8,4,1,-52,-48,-4800,2548,1367933343993157,1367933343993157,1,1367936779891
E20068777716022812209DB8,3,1,52,-48,-4800,2660,1367933344010116,1367933344010116,1,1367936779891
E20068777716022812209DB8,3,1,0,-48,-4850,2676,1367933344016447,1367933344016447,1,1367936779891
E20068777716022812209DB8,4,1,-78,-48,-4800,2560,1367933344033156,1367933344033156,1,1367936779891
E20068777716022812209DB8,4,1,-52,-48,-4850,2556,1367933344040698,1367933344040698,1,1367936779891
