EPC,AntnenaId,ChannelIndex,Doppler,PeekRssi,PrecissRssi,Phase,FirstReadTime,LastReadTime,ReadCount,Timestamp
E2008325251402851710659D,4,1,-559,-64,-6450,2144,1367933343686208,1367933343686208,1,1367936779553
E2008325251402851710659D,4,1,1744,-66,-6650,1876,1367933343968410,1367933343968410,1,1367936779802
E2008325251402851710659D,4,1,-989,-66,-6650,2348,1367933343987564,1367933343987564,1,1367936779803
E2008325251402851710659D,4,1,755,-67,-6700,2220,1367933344196181,1367933344196181,1,1367936780055
E2008325251402851710659D,4,1,351,-68,-6800,2088,1367933344245317,1367933344245317,1,1367936780065
E2008325251402851710659D,4,1,-390,-67,-6700,2128,1367933344587777,1367933344587777,1,1367936780482
E2008325251402851710659D,4,1,2499,-68,-6800,2160,1367933344607213,1367933344607213,1,1367936780482
E2008325251402851710659D,4,1,-755,-67,-6700,2188,1367933344615421,1367933344615421,1,1367936780482
E2008325251402851710659D,4,1,104,-65,-6550,2160,1367933344636363,1367933344636363,1,1367936780482
E2008325251402851710659D,4,1,3476,-68,-6800,1764,1367933344644371,1367933344644371,1,1367936780482
E2008325251402851710659D,4,1,1822,-66,-6650,1768,1367933344923756,1367933344923756,1,1367936780774
E2008325251402851710659D,4,1,481,-68,-6850,2136,1367933344930785,1367933344930785,1,1367936780774
E2008325251402851710659D,4,1,-442,-66,-6600,2172,1367933344984456,1367933344984456,1,1367936780887
E2008325251402851710659D,4,1,-195,-66,-6650,2164,1367933344991919,1367933344991919,1,1367936780888
E2008325251402851710659D,4,1,-1718,-64,-6450,2288,1367933345067042,1367933345067042,1,1367936780888
E2008325251402851710659D,4,1,611,-66,-6600,2020,1367933345124908,1367933345124908,1,1367936781015
E2008325251402851710659D,4,1,-781,-67,-6700,2192,1367933345194883,1367933345194883,1,1367936781015
E2008325251402851710659D,4,1,1080,-67,-6750,1904,1367933345206472,1367933345206472,1,1367936781015
E2008325251402851710659D,3,1,-585,-69,-6900,2036,1367933345278859,1367933345278859,1,1367936781143
E2008325251402851710659D,4,1,-247,-66,-6600,2228,1367933345414495,1367933345414495,1,1367936781282
E2008325251402851710659D,4,1,247,-65,-6500,2208,1367933345522716,1367933345522716,1,1367936781389
E2008325251402851710659D,4,1,-2395,-67,-6700,2564,1367933345535096,1367933345535096,1,1367936781389
E2008325251402851710659D,3,1,-911,-68,-6800,2128,1367933345571456,1367933345571456,1,1367936781389
E2008325251402851710659D,4,1,1171,-67,-6750,2168,1367933345585982,1367933345585982,1,1367936781479
